,query,carb
70,"A cup of egg omelet made with meat, tomatoes, and dark-green vegetables, prepared without any added fat.",2.052
71,Dinner includes a cup of sautéed chicken that has been cooked and diced.,0.0
72,A king-size piece of hard candy enjoyed.,117.6
73,Preparing a 4-ounce boneless top blade steak that has been trimmed to no fat from the shoulder.,0.0
74,"A cup of egg omelet featuring tomatoes and dark-green vegetables, prepared without added fat.",2.0385
75,Preparing a single piece of raw dark meat chicken with skin sourced from a pound of ready-to-cook chicken.,0.0
76,A large iced mocha coffee prepared with non-dairy milk.,54.56
77,"In my cooking, I included 1 fluid ounce of coconut milk, served over ice.",1.662
78,"A slice of American cheese with reduced fat content, enriched with vitamin D.",2.014
79,"A can of cream of potato soup, prepared and ready to eat, weighing approximately 10.75 ounces.",27.871
80,"A cup of cooked frozen asparagus, prepared without any added fat.",3.438
81,Enjoying a cup filled with dry roasted macadamia nuts that have no added salt.,17.6616
82,"I am getting ready to cook a 3-ounce portion of boneless Australian lamb leg sirloin, trimmed to a quarter-inch of fat.",0.0
83,A small piece of barley bread is what I'm having.,13.3112
84,Dinner consists of a whole grilled pompano fish.,0.0
85,A tablespoon of chocolate dip is being enjoyed.,13.062
86,Consuming 1 ounce of dry Cream of Wheat prepared with water and a bit of fat.,21.2995
87,Consuming a quart of 1% milk that does not have added vitamin A or D.,48.7024
88,Dinner consists of a cup of crab.,0.0
89,Dinner consists of a cup of smoked fish.,0.0
90,Savoring a one fluid ounce serving of Turkish coffee.,2.0057
91,"A 12 fluid ounce can of cola that is low in calories, sweetened with aspartame and caffeine-free.",0.426
92,"A half cup of boiled garden cress, cooked and drained without any salt.",2.584
93,A tub of Stage 2 Baby Toddler apples is what I'm eating.,11.33
94,"For dinner, I will be eating 1 ounce of strained mixed vegetable baby food.",2.69325
95,A small slice of bruschetta for a snack.,2.9848
96,"For a snack, I am enjoying 10 Chicken McNUGGETS from McDONALD'S.",23.9931
97,Enjoying a serving of 10 small onion rings that have been breaded and par-fried before being heated in the oven.,16.8216
98,"For dinner, I'm enjoying a thick pork chop made from lean meat.",0.0
99,A cup of baby food containing peas and brown rice.,26.427
100,"A cup of roasted potatoes, prepared with fresh potatoes and their skins intact, cooked in oil.",32.72
101,"A cooked top sirloin steak weighing 3 ounces, broiled and with no fat.",0.0
102,"I am consuming one ounce of knackwurst, a type of knockwurst that consists of pork and beef.",0.9072
103,"I prepared an omelet filled with dark-green vegetables, without any added fats.",0.994
104,"For dessert, I am enjoying an apple cupcake.",47.268
105,"A small toasted plain bagel, approximately 3 inches wide, enriched with calcium propionate and topped with onion, poppy, and sesame seeds.",37.3035
106,"For dinner, I'm enjoying a grilled top loin steak.",0.0
107,"For breakfast, I am enjoying a large muffin filled with blueberries.",73.67
108,"I am consuming 3 ounces of braised beef chuck arm pot roast, trimmed to an eighth of an inch of fat.",0.0
109,Enjoying a single school potato tot as a snack.,1.5472
110,"For a snack, I enjoyed a tablespoon of junior applesauce.",1.648
111,A cup of cooked pigeon peas seasoned with salt.,29.8197
112,"For dinner, I'm enjoying a small baked fillet of perch.",0.009
113,"A cup containing a baked whole egg, prepared without any added fat.",1.296
114,"I have 1 ounce of choice rib lamb, trimmed to a quarter-inch of fat and uncooked.",0.0
115,"For dinner, I am enjoying a cup of CAMPBELL'S CHUNKY Hearty Beef Barley Soup.",18.4988
116,A teaspoon of high oleic sunflower oil is being used in my cooking.,0.0
117,"A cup of beef stew prepared in a Mexican style with a tomato sauce, excluding potatoes.",8.174
118,"For dinner, I am enjoying a cup of cooked millet.",40.069
119,Consuming 3 ounces of cooked New Zealand beef that contains intermuscular fat.,2.8815
120,"For a snack, I am enjoying 1 ounce of baby food made from strained pineapple fruit pudding.",5.75505
121,A cup of Vault energy drink that is sugar-free.,1.6800000000000002
122,Dinner consists of a cup of ground lamb.,0.0
123,"For dinner, I am enjoying a cup of grilled pompano fish.",0.0
124,A cup of boiled potatoes prepared with oil and without the peel.,32.72
125,A cup of fat-free French dressing is being added to the salad.,82.2784
126,"For breakfast, a regular egg sandwich made with an English muffin and sausage.",28.836
127,A cup of New England clam chowder prepared with 2% low fat milk.,18.7992
128,"For dinner, I’m enjoying a large fillet of fish, either baked or broiled.",0.0135
129,"Enjoying an ounce of homemade oatmeal cookies, free from raisins.",18.8244
130,I consumed a fluid ounce of ready-to-drink Abbott Ensure Plus.,6.2622
131,"For lunch, I am enjoying a peanut butter and jelly sandwich.",50.6464
132,"A 6-ounce jar of Gerber Third Foods featuring macaroni, tomato, and beef.",15.98
133,A slice of cooked cucumber is my choice for a snack.,0.414
134,A cup of lightly salted cashews enjoyed as a snack.,41.015
135,"For dinner, I'm enjoying a medium-sized baked chicken thigh, skin removed.",0.0
136,A regular sausage biscuit sandwich is my breakfast today.,29.931
137,A teaspoon of either red pepper or cayenne spice is being utilized.,1.01934
138,"For dinner, I am enjoying a broiled lamb chop from New Zealand, cooked to perfection.",0.0
139,A snack consisting of a cracker sandwich filled with peanut butter.,4.0866
140,"A cup of brown rice combined with peas, prepared without any added fat.",43.1409
141,"For dinner, I am serving a whole roasted boneless cured ham.",29.3119
142,Enjoying a serving of white Muscat wine that measures 5 fluid ounces.,7.845
143,"A serving of pizza topped with cheese and a regular crust, cooked and ready to eat.",23.5062
144,Enjoying a snack-sized microwavable tray of Spaghettios featuring whole grain pasta in a tomato-based sauce with meat and vegetables.,30.753
145,A regular sandwich loaded with various meats purchased from a restaurant.,31.7625
146,A quarter cup of CLASSICO basil pesto sauce is prepared for serving.,4.2966
147,"A slice of Beerwurst, a pork-based beer salami.",0.4738
148,"Enjoying a small slice of multigrain bread that has been toasted, which is low in calories and high in fiber.",7.4025
149,"For dinner, I am enjoying a roasted drumstick of chicken with the skin on.",0.0
150,A cubic inch of low sodium mozzarella cheese is my snack.,0.558
151,"For dinner, I'm enjoying 3 ounces of slow-roasted lamb shoulder from New Zealand.",0.0
152,"For lunch, I’m enjoying a cup of egg salad prepared with light mayonnaise.",6.2604
153,"For dinner, I'm enjoying a cup of fried catfish.",15.822
154,"For lunch, I'm enjoying a sandwich made with a chicken fillet.",38.472
155,A cup of egg omelet made with tomatoes and no fat added.,2.0925
156,"For lunch, I am enjoying a small chicken salad sandwich made with wheat bread.",15.309
157,"For dinner, I'm enjoying a slice of pork belly.",0.0
158,I had a cup of Spanish rice when dining at the Mexican restaurant.,36.1456
159,"For breakfast, I enjoyed a cup of an omelet made with scrambled egg whites.",2.9835000000000003
160,I possess 3 ounces of fresh raw skipjack tuna.,0.0
161,"Providing my baby with 1 fluid ounce of Gentlease infant formula, ready to feed, by MEAD JOHNSON, enriched with ARA and DHA.",2.283
162,Enjoying a sandwich made with Nutella spread on wheat bread as a snack.,46.179
163,Enjoying a cup of nachos from NFS as a snack.,32.1165
164,"I have three flowerets of boiled cauliflower, drained and sprinkled with a bit of salt.",2.2194
165,A 16.9 fluid ounce bottle of Poland Spring water is being consumed.,0.0
166,"For a snack, I enjoyed a cup of reduced fat butter crackers.",35.76
167,Utilizing a cup of salted butter in my recipe.,0.1362
168,A cup of cheese hash browns that are ready to heat.,38.336
169,"A serving of broiled porterhouse steak, sourced from the short loin and carefully trimmed to remove any fat.",0.0
170,A jar filled with toddler vegetables mixed with grain is being consumed.,13.211
171,"For dinner, I am enjoying a grilled top sirloin filet that has been cooked.",0.0
172,A cup of fettuccini made from gluten-free brown rice flour by TINKYADA is being enjoyed.,49.266
173,"For my meal, I am enjoying a spiral slice of cured ham weighing 3 ounces, served with its natural juices.",1.037
174,"I am consuming 4 ounces of boneless, trimmed eye of round roast beef that is lean.",0.0
175,"For dinner, I'm enjoying a piece of strip steak, prepared to my preference.",0.0
176,"I possess a 4-ounce portion of raw boneless chuck beef pot roast, with all fat trimmed off.",0.2147
177,Enjoying a cubic inch of peach cobbler as my dessert.,4.947
178,A cubic inch portion of corned beef.,0.0799
179,"I'm enjoying an omelet made with eggs, tomatoes, and dark green vegetables, along with added fat.",1.08
180,"A bottle of DANNON water, which is non-carbonated and contains fluoride.",0.0753
181,"Utilizing a tablespoon of margarine-like shortening, ideal for making flaky pastries.",0.0
182,I possess a fully trimmed boneless beef shoulder pot roast with zero fat.,0.0
183,A medium-sized soft pretzel sprinkled with cinnamon sugar is my snack.,108.7653
184,"A cup of macaroni and cheese with meat, prepared using a Hamburger Helper mix.",23.621
185,"For breakfast, I'm enjoying a wheat English muffin studded with raisins.",27.8052
186,"For dinner, I am enjoying 3 ounces of braised New Zealand lamb neck chops.",0.0
187,A cup of nonfat milk enriched with calcium.,11.9795
188,Having a snack of 1 ounce of plain salted potato chips made with partially hydrogenated soybean oil.,14.99715
189,A cup of tomato soup made from a dry mix combined with water.,19.0005
190,A cup of freshly cooked cauliflower with added fat.,8.032
191,Ten salted hard pretzels crafted from unenriched flour are my snack.,47.52
192,"A regular sandwich made with an egg and ham, served on an English muffin.",27.985
193,Utilizing a tablespoon of shortening that is a cake mix created with hydrogenated soybean and cottonseed oil.,0.0
194,"A serving of red Mouvedre table wine, measuring 5 fluid ounces.",3.8808
195,"A serving of baby corn from a can with reduced sodium, sautéed in butter.",1.1584
196,"I am having 3 ounces of cooked, broiled boneless center rib pork loin chops.",0.0
197,A package of macadamia nuts is being enjoyed as a snack.,6.415
198,Enjoying a hard pretzel chip that is gluten-free.,2.0709
199,"For dinner, I will be enjoying 3 ounces of roasted bone-in center loin pork.",0.0
200,Enjoying a cheese pastry puff measuring approximately 5 inches in length.,0.804
201,A small whole wheat roll is included in my meal.,33.58
202,"A slice of commercially made egg custard pie, representing one-sixth of an 8-inch pie.",21.84
203,Dinner includes a serving of 3 ounces of cooked and roasted tip round beef roast.,0.0
204,A small chocolate candy filled with nougat.,7.447
205,Consuming a jar of junior apple and blueberry fruit puree for a meal.,28.22
206,A commercially prepared and refrigerated piece of whole wheat naan bread.,48.9826
207,"A 3-ounce slice of bone-in cured ham, which is lean and not heated.",0.0
208,A package of granola bites with assorted flavors is my snack.,13.254
209,Preparing a fresh pork chop weighing approximately 151 grams from a loin.,0.0
210,"A tablespoon of yogurt for babies, prepared with whole milk, fruit, multigrain cereal, and supplemented with iron.",2.08
211,A regular piece of chocolate cake without any icing.,28.132
212,A cup of white rice accompanied by vegetables and gravy.,48.438
213,A packet of active dry baker's yeast is being utilized for baking.,2.96784
214,A tablespoon of reduced sodium ketchup is what I’m having.,4.658
215,Consuming 3 ounces of grilled inside skirt steak that has been cooked.,0.0
216,"A cup of raw European chestnuts, unpeeled, is my snack.",66.033
217,A prepackaged single portion of corn squares cereal is being consumed for breakfast.,23.142
218,A 12 fluid ounce can of low-calorie cola containing aspartame and caffeine.,1.0295
219,A quart of reduced fat milk containing 2% milkfat and added nonfat milk solids.,53.802
220,A fry topped with chili from a fast food place.,2.5264
221,"I prepared a beverage using 2 tablespoons of decaffeinated green tea powder, combined with lemon and enhanced with vitamin C.",4.25025
222,A cup filled with pieces of bologna for my lunch.,8.834
223,A medium portion of drained canned mushrooms is being consumed.,0.6108
224,"For my meal, I prepared 1 ounce of dried lima beans.",13.968
225,A cup of corn drink is what I'm enjoying.,24.44
226,Enjoying a tablespoon of jam made with fruit juice sweetener.,10.586
227,A packet of instant plain oatmeal prepared with non-dairy milk.,23.236
228,"For my stir-fry, I am including one-third of a package of frozen chopped green sweet peppers.",4.2275
229,"For dinner, I am enjoying a serving of simmered pork ears.",0.844
230,"For lunch, I am enjoying a fried seafood sandwich.",44.406
231,I placed an order for a meal featuring shrimp along with a variety of vegetables from a Chinese restaurant.,27.1652
232,"For my meal, I'm enjoying a cup of chopped roasted chicken.",0.0
233,Consuming a single strip of pimiento.,0.0624
234,I am getting ready to cook half of a raw pheasant breast that has been deboned and skinned.,0.0
235,A breakfast consisting of a cup of scrambled egg white omelet cooked in butter.,2.97
236,A cup of barbecue pork served without sauce.,0.0
237,Dinner consists of 3 ounces of roasted chicken thigh.,0.0
238,"For dinner, I am enjoying a piece of sirloin steak.",0.0
239,"I enjoyed a cup of steak, though I can't specify the meat's type or its fat content.",0.0
240,Cooking a single piece of boneless beef chuck short ribs that has been trimmed of fat.,0.216
241,Enjoying a Quaker Chewy granola bar with 25% less sugar as a snack.,16.656
242,"A grilled chicken wrap filled with lettuce, cheese, and ranch sauce, all wrapped in a tortilla.",22.6689
243,A slice of pork chop featuring both lean meat and some fat.,0.003
244,"For dinner, I'm enjoying a cup of pasta topped with tomato sauce and cheese.",37.45
245,"For lunch, I am enjoying a standard egg salad sandwich made with white bread.",30.726
246,A cup of air-popped popcorn without salt is my snack.,6.232
247,"Preparing a boneless chuck eye roast, which is a cut of America's Beef Roast with all fat trimmed off.",0.0
248,A cup of paneer cheese is included in my meal.,55.2516
249,Consuming a cubic inch of low-fat bologna made from beef and pork.,0.364
250,I ordered a 14-inch thin and crispy crust pepperoni pizza from Pizza Hut.,207.0644
251,Consuming a tablespoon of dry farina cereal that is unenriched.,8.502
252,"For dinner, I'm enjoying a cup of broccoli casserole accompanied by rice.",34.4052
253,"A cup of raw fireweed leaves, chopped, served as a side.",4.4206
254,"For dessert, I'm enjoying a slice of key lime pie that measures one surface inch.",7.95312
255,"For dessert, I'm enjoying a 5-ounce can of ready-to-eat rice pudding.",26.1138
256,A thick slice of cooked smoked or cured pork bacon with lower sodium content.,0.1716
257,Enjoying a quarter cup of jellied cranberry sauce by OCEAN SPRAY.,28.427
258,"I consumed a reduced sugar fruit-flavored beverage, measuring 1 fluid ounce, that contains over 3% fruit juice and is enriched with vitamin C and added calcium.",2.07437
259,"Enjoying a single wing from KFC's ORIGINAL RECIPE fried chicken, stripped of skin and breading.",0.4048
260,Sipping on 1 fluid ounce of diet chocolate cola served with ice.,0.0667
261,Enjoying a whole grilled white fish for my evening meal.,0.0
262,I prepared an ounce of Irish soda bread following a recipe.,15.876
263,"A large bag of flavored potato chips, intended as a single serving.",60.384
264,"In my cooking, I am utilizing a tablespoon of low linolenic soy oil.",0.0
265,"A raw top chuck shoulder steak, expertly trimmed to have no fat, and prepared for cooking.",0.0
266,"A serving of 1 ounce of cooked rotisserie chicken leg, consisting of the drumstick and thigh, with the skin removed.",0.0
267,A large boiled potato prepared and ready for heating.,61.35
268,"For my meal, I am enjoying 1 ounce of carnitas pork.",0.0
269,"A serving of braised choice beef short ribs, weighing 3 ounces.",0.0
270,"For lunch, I am enjoying a 19-ounce can of Manhattan-style clam chowder.",42.2576
271,Snacking on a single raw kumquat.,3.021
272,"For dinner, I am enjoying a cup of fish timbale.",3.15
273,Enjoying a cup of creamy asparagus soup prepared with milk.,16.5664
274,A full cup of drained canned beets is my choice.,11.7523
275,A can of cream of celery soup made with the same amount of milk.,35.2772
276,"A slice of reduced fat Muenster cheese, roughly the size of a cracker.",0.315
277,I possess a single ounce of Florida pompano fish in its raw state.,0.0
278,A cup of strained baby food that includes vegetables and carrots.,13.44
279,"A cup of brown rice combined with cheese and a creamy sauce, without any added fat.",54.3197
280,"A cooked bottom round roast prepared from premium beef, trimmed to have no fat, made from 572 grams of raw meat.",0.0
281,"For breakfast, I am enjoying a serving of Thomas English Muffins produced by George Weston Bakeries.",26.22
282,A tablespoon of multigrain toddler cereal mixed with fruit.,3.05786
283,I am enjoying a 3-ounce serving of caramel custard flan prepared from a dry mix.,77.86
284,Cooking 4 ounces of raw chicken thighs with the skin for dinner.,0.2825
285,A fried chicken breast without the skin or breading.,0.0
286,"For dinner, I am enjoying a cup of chunky chicken vegetable soup that includes potatoes and cheese.",12.74
287,A thin slice of rye bread with reduced calories.,8.1
288,A serving of chocolate-flavored cola soft drink with ice measures 1 fluid ounce.,2.3828
289,A personal-sized pizza topped with cheese and vegetables on a thick whole wheat crust.,68.976
290,"A large, raw head of green cauliflower is in my possession.",31.1199
291,"I am consuming five slices of raw ginger root, approximately one inch across.",1.9547
292,"For dinner, I will be eating a cup of cooked brown and wild rice.",29.715
293,"I possess one pound of raw choice lamb shoulder, with the fat trimmed to an eighth of an inch.",0.0
294,A jar containing 2.5 ounces of strained banana baby food that does not include tapioca.,15.1514
295,I got a portion of nachos topped with chicken and beans.,45.55
296,"A large bowl of whole grain pasta topped with cream sauce, seafood, and mixed vegetables, heated in the microwave.",67.5273
297,"A boneless chuck eye roast from America's Beef Roast, completely raw and trimmed to zero fat.",0.0
298,A package of regular dry mix for banana pudding is being prepared with the addition of oil.,77.792
299,"A jar of fruit baby food containing bananas, pineapple, and tapioca.",31.28
300,"A cup of chow mein or chop suey, without noodles, accompanied by an unspecified type of meat.",8.448
301,A cup filled with chopped raw chicory greens.,1.363
302,"A large slice of boiled onions, drained and served without salt.",3.248
303,A small barbecue beef sandwich served on a wheat bun.,21.231
304,I enjoyed one baked chicken wing from a fast food place.,0.0
305,"For dinner, I am enjoying a large bowl of whole grain pasta topped with cream sauce and mixed vegetables, heated in the microwave.",67.3218
306,I scooped one tablespoon of multipurpose shortening that consists of hydrogenated soybean and palm oils.,0.0
307,A ladyfinger cookie is my chosen snack.,6.567
308,Preparing 1 pound of raw giblets from a broiler chicken for cooking.,0.414
309,I prepared 1 ounce of cooked kidney beans with added fat.,15.2568
310,Prepared a 16-ounce package of instant beef gravy.,277.394
311,Enjoying 8 pods of boiled okra seasoned with a touch of salt.,3.8335
312,"A cup of vegetable oil spread that resembles margarine, containing 20% fat and salt.",0.96
313,I possess 4 ounces of raw beef tongue from New Zealand.,0.0
314,A cup of white rice topped with vegetables and a fat-free soy-based sauce.,51.3315
315,A single serving box of ready-to-drink Muscle Milk nutritional shake is being consumed.,12.4032
316,Consuming 1 ounce of corned beef.,0.094
317,"For dinner, I am enjoying a whole haddock fish that has been either baked or broiled.",32.718
318,"For dinner, I will be enjoying half of a cooked chum salmon fillet.",0.0
319,I am eating a dried cherry.,0.8045
320,A gluten-free pretzel that is soft is my snack.,51.4425
321,Savoring a medium no-bake chocolate cookie that contains oatmeal and coconut.,20.61
322,A 4-ounce jar of Gerber baby food containing apple and sweet potato.,17.289
323,Having a Gamesa Sabrosas cream cracker as a snack.,2.00105
324,"A large roasted potato, prepared with butter and left unpeeled.",61.35
325,"For preparing non-dairy whipped toppings, I am utilizing one cup of hydrogenated palm kernel oil.",0.0
326,"As an appetizer, I am enjoying a slice of bruschetta.",9.1676
327,Sipping on an ounce of brewed espresso from the restaurant.,0.49432
328,A serving consists of three lower fat chocolate chip cookies.,22.9466
329,A snack-sized piece of high protein bread.,5.694
330,"Enjoying a frozen pizza with a thick crust, adorned with meat and vegetables, cut into pieces measuring one square inch.",2.21606
331,"A serving of 1 fluid ounce of fruit punch, prepared with fruit juice and soda, chilled with ice.",3.3542
332,"Enjoying a package of TWIX Caramel Cookie Bars weighing 2.06 ounces, which includes 2 bars.",37.584
333,I’m enjoying a piece of fruit-flavored candy as a snack.,1.716
334,A medium-sized caffeine-free lemon-lime soda is what I'm enjoying.,70.335
335,"Enjoying a 3-ounce slice of bone-in cured ham, consisting solely of separable lean.",2.397
336,"A serving of lightly salted, oil-roasted almonds weighing 1 ounce, approximately 22 kernels.",5.01228
337,"A portion of frozen French toast weighing 1 ounce, ready to be heated.",9.10035
338,A cup filled with melted cheddar cheese.,8.2228
339,A thick ribeye steak featuring a balanced combination of lean meat and fat.,0.0
340,A meat and tomato egg omelet prepared without any added fats.,1.395
341,"I have a portion of 4 ounces of raw tenderloin beef from New Zealand, consisting solely of the separable lean section.",0.0
342,Dinner consists of a 10.5-ounce can of reduced sodium chicken broth.,1.1324
343,I intend to prepare 4 ounces of raw chuck beef for a stew.,0.1808
344,"A small raw potato, with the skin left intact.",29.733
345,"A slice of coated pork chop for my meal, though I have uncertainties about its fat content.",2.16
346,"For dinner, I am eating 3 ounces of boiled New Zealand beef.",0.0
347,"For my meal, I am enjoying a medium-sized whole grain white submarine roll.",49.29
348,Preparing 4 ounces of fresh raw pork tenderloin for my dinner.,0.0
349,"For my meal, I am consuming 3 ounces of cured bone-in ham from the shank, served cold.",0.255
350,A cup of canned cherries enjoyed as a snack.,46.975
351,A garlic and parmesan cheese seasoned soft breadstick is being enjoyed.,19.1264
352,"A raw steak sourced from beef chuck, specifically the top blade of the shoulder clod, trimmed to zero fat.",0.0
353,A cup of SWEET BABY RAY'S original barbecue sauce is being utilized for my meal.,129.024
354,A cup of canned tomato soup made with low-fat (2%) milk mixed in equal parts.,24.7464
355,A cup filled with bite-sized flavored crackers accompanied by butter.,36.78
356,A medium-sized ear of sweet white corn is being eaten raw.,17.118
357,A cup of raw mature soybeans served as a snack.,56.0976
358,"For dinner, I'm enjoying a regular lean pork chop.",0.0
359,A sub sandwich filled with a variety of meats from the restaurant.,48.125
360,A cup filled with fruit syrup.,284.3342
361,A packet containing fat-free Italian dressing.,3.85
362,A cup filled with raw passion fruit is being enjoyed.,55.1768
363,"A cup of Sambar, a type of vegetable stew, is what I am enjoying.",29.264
364,Dinner consists of a thick T-bone steak featuring both lean and fatty sections.,0.0
365,Enjoying a small spear of dill cucumber pickles with reduced sodium as a snack.,0.8435
366,A cup of canned asparagus that has been drained.,5.9532
367,"For dinner, I am having a portion of cooked stewing chicken that weighs 3 ounces.",0.0
368,"A microwavable snack-sized tray of Spaghettios with a tomato sauce, meat, and vegetables for my lunch.",31.433
369,"A cooked rib beef portion, trimmed to an 1/8 inch of fat.",0.0
370,Enjoying a cup of potato alongside Puerto Rican chicken fricassee with sauce.,35.088
371,"For my meal, I included a single cooked cauliflower floweret.",0.6526000000000001
372,Utilizing a quarter cup of low-sodium soy sauce derived from hydrolyzed vegetable protein.,8.3752
373,A large cinnamon Danish pastry measuring approximately 7 inches across.,63.332
374,"Preparing 4 ounces of raw fresh pork shoulder, which includes both lean meat and fat.",0.0
375,"For lunch, a large sandwich filled with chicken salad on wheat bread.",45.927
376,"I am enjoying a piece of no-bake coconut cream pie, weighing 1 ounce.",8.07975
377,A serving of gluten-free pretzels crafted from cornstarch and potato flour.,23.586
378,"For dinner, I'm having 8 raw farmed crayfish.",0.0
379,A small popcorn cake is my snack.,1.602
380,"I possess a 10-ounce package of frozen, unprepared summer squash that includes zucchini with the skin.",10.1672
381,One cooked floweret of broccoli is served as a side dish.,0.633
382,"Enjoying a cup of Puerto Rican rice served with chicken, with the bone taken out.",49.298
383,A large raw mixed species clam is being enjoyed.,0.714
384,"Enjoying 1 fluid ounce of unsweetened apple juice from a can or bottle, enhanced with ascorbic acid.",3.503
385,A cup containing canned fish.,0.0
386,I am consuming one cup of reduced sodium deli beef luncheon meat.,0.896
387,Preparing 1 fluid ounce of Enfamil Gentlease infant formula using bottled water for the baby.,2.21125
388,"Enjoying a chilled serving of cantaloupe nectar, 1 fluid ounce, with ice.",4.8484
389,Consuming 1 fluid ounce of pure carrot juice served without ice.,22.272
390,"For breakfast, I am enjoying an Egg McMuffin from McDonald's.",27.3042
